Y-tunnus,company_name,address,website,registrationDate,detailsUri,companyForm
3306519-3,V Bistro Oy,,,2022-08-22,http://avoindata.prh.fi/opendata/tr/v1/3306519-3,OY
3326915-3,Ab PickUp Grilli Oy,,,2022-11-24,http://avoindata.prh.fi/opendata/tr/v1/3326915-3,OY
3328155-8,Kabul Grill Oy,,,2022-12-01,http://avoindata.prh.fi/opendata/tr/v1/3328155-8,OY
3331668-5,Delicious cafe and grill Oy,,,2022-12-28,http://avoindata.prh.fi/opendata/tr/v1/3331668-5,OY
3332395-7,Honkala Bistro Oy,,,2022-12-28,http://avoindata.prh.fi/opendata/tr/v1/3332395-7,OY
3315751-4,SD Grilli Oy,,,2022-10-05,http://avoindata.prh.fi/opendata/tr/v1/3315751-4,OY
3287835-2,Riviera Beach Grill Oy,,,2022-07-14,http://avoindata.prh.fi/opendata/tr/v1/3287835-2,OY
3295982-2,Balkanik Grilli Ravintola Oy,,,2022-07-11,http://avoindata.prh.fi/opendata/tr/v1/3295982-2,OY
3298504-3,DFV Bistro Oy,,,2022-07-27,http://avoindata.prh.fi/opendata/tr/v1/3298504-3,OY
3291162-6,M&S Diners Oy,,,2022-07-22,http://avoindata.prh.fi/opendata/tr/v1/3291162-6,OY
3381188-9,Shiraz Grill Oy,,,2023-08-16,http://avoindata.prh.fi/opendata/tr/v1/3381188-9,OY
3407606-2,Haapaveden Autogrilli Oy,,,2023-12-12,http://avoindata.prh.fi/opendata/tr/v1/3407606-2,OY
3397992-1,Kivirannan grilli Oy,,,2023-10-30,http://avoindata.prh.fi/opendata/tr/v1/3397992-1,OY
3391343-9,HoneyBuns Eatery Oy,,,2023-10-11,http://avoindata.prh.fi/opendata/tr/v1/3391343-9,OY
3394263-5,Lempigrilli Oy,,,2023-10-03,http://avoindata.prh.fi/opendata/tr/v1/3394263-5,OY
3394205-3,Grilli Aikapoika Oy,,,2023-10-03,http://avoindata.prh.fi/opendata/tr/v1/3394205-3,OY
3392861-4,tom&grill kaleva oy,,,2023-09-29,http://avoindata.prh.fi/opendata/tr/v1/3392861-4,OY
3386541-4,Laituribistro Oy,,,2023-09-26,http://avoindata.prh.fi/opendata/tr/v1/3386541-4,OY
3374528-7,Hakaniemen Bistro Oy,,,2023-07-12,http://avoindata.prh.fi/opendata/tr/v1/3374528-7,OY
3382221-1,Wasa Erica-Grilli Oy,,,2023-08-29,http://avoindata.prh.fi/opendata/tr/v1/3382221-1,OY
3383539-7,LK Grilli Oy,,,2023-08-29,http://avoindata.prh.fi/opendata/tr/v1/3383539-7,OY
3390911-4,Roster pizza's & grill,,,2023-09-21,http://avoindata.prh.fi/opendata/tr/v1/3390911-4,OY
3389647-2,Satamakadun Grilli Oy,,,2023-09-15,http://avoindata.prh.fi/opendata/tr/v1/3389647-2,OY
2094618-6,Kuumat Ravintolat Oy,,,2007-02-15,http://avoindata.prh.fi/opendata/tr/v1/2094618-6,OY
2093132-0,Vaasa Ravintolat Oy,,,2007-02-09,http://avoindata.prh.fi/opendata/tr/v1/2093132-0,OY
2087515-4,Loisto Catering Oy,,,2007-01-25,http://avoindata.prh.fi/opendata/tr/v1/2087515-4,OY
2139324-5,Kierre Ravintolat Oy,,,2007-10-08,http://avoindata.prh.fi/opendata/tr/v1/2139324-5,OY
2137179-1,Oy Ravintola Rantapuisto Ab,,,2007-09-27,http://avoindata.prh.fi/opendata/tr/v1/2137179-1,OY
2137767-5,Varjoravintolat Oy,,,2007-09-17,http://avoindata.prh.fi/opendata/tr/v1/2137767-5,OY
2134576-1,Hohto Ravintolat Oy,,,2007-09-11,http://avoindata.prh.fi/opendata/tr/v1/2134576-1,OY
2152359-9,Ravintola Vallesmanni Oy,,,2007-11-01,http://avoindata.prh.fi/opendata/tr/v1/2152359-9,OY
2152499-7,Bystrand Catering Oy,,,2007-11-01,http://avoindata.prh.fi/opendata/tr/v1/2152499-7,OY
2164208-8,Tom Ravintolat Oy,,,2007-12-31,http://avoindata.prh.fi/opendata/tr/v1/2164208-8,OY
2160549-8,Tourujoen Ravintolat Oy,,,2007-12-07,http://avoindata.prh.fi/opendata/tr/v1/2160549-8,OY
2155974-3,KAHVILA-RAVINTOLA MYRSKYTÄHTI OY,,,2007-11-19,http://avoindata.prh.fi/opendata/tr/v1/2155974-3,OY
2153325-2,Ravintola Kaks Ruusua Oy,,,2007-11-16,http://avoindata.prh.fi/opendata/tr/v1/2153325-2,OY
2154918-2,Klubiravintola Valte Oy,,,2007-11-16,http://avoindata.prh.fi/opendata/tr/v1/2154918-2,OY
2127566-0,Ravintola Nuupalan Patruuna Oy,,,2007-07-25,http://avoindata.prh.fi/opendata/tr/v1/2127566-0,OY
2121735-6,Gallop Catering Oy,,,2007-07-01,http://avoindata.prh.fi/opendata/tr/v1/2121735-6,OY
2122080-3,Savon ravintolapalvelut Oy,,,2007-06-20,http://avoindata.prh.fi/opendata/tr/v1/2122080-3,OY
2117074-6,Ravintola Berfin Oy,,,2007-05-30,http://avoindata.prh.fi/opendata/tr/v1/2117074-6,OY
2104253-3,PAMM Ravintolat Oy,,,2007-03-26,http://avoindata.prh.fi/opendata/tr/v1/2104253-3,OY
2104606-7,Juustoportti Catering Oy,,,2007-03-23,http://avoindata.prh.fi/opendata/tr/v1/2104606-7,OY
2097575-3,Catering Ceidas Oy,,,2007-03-08,http://avoindata.prh.fi/opendata/tr/v1/2097575-3,OY
2085377-2,IKIRAVINTOLAT OY,,,2007-01-11,http://avoindata.prh.fi/opendata/tr/v1/2085377-2,OY
2081953-1,Lehmäravintolat Oy,,,2007-01-10,http://avoindata.prh.fi/opendata/tr/v1/2081953-1,OY
2067852-1,Ravintolat Rodinin Oy,,,2007-01-08,http://avoindata.prh.fi/opendata/tr/v1/2067852-1,OY
2082802-4,Niesta Catering Oy,,,2007-01-01,http://avoindata.prh.fi/opendata/tr/v1/2082802-4,OY
2116631-7,Länsiravintolat Oy,,,2007-05-22,http://avoindata.prh.fi/opendata/tr/v1/2116631-7,OY
2114468-7,Tornio City Hotel & Restaurants Oy,,,2007-05-11,http://avoindata.prh.fi/opendata/tr/v1/2114468-7,OY
2112967-1,Ravintola Lähderanta Oy,,,2007-05-03,http://avoindata.prh.fi/opendata/tr/v1/2112967-1,OY
2110952-3,Skogster Ravintolat Oy,,,2007-04-23,http://avoindata.prh.fi/opendata/tr/v1/2110952-3,OY
2103972-1,Ravintola Kreeta Oy,,,2007-04-04,http://avoindata.prh.fi/opendata/tr/v1/2103972-1,OY
2176078-9,Noppa Ravintolat Oy,,,2008-02-18,http://avoindata.prh.fi/opendata/tr/v1/2176078-9,OY
2169970-3,Suomen Teatteriravintolat Oy,,,2008-01-30,http://avoindata.prh.fi/opendata/tr/v1/2169970-3,OY
2170751-5,Ravintolapalvelut Suomela Oy,,,2008-01-25,http://avoindata.prh.fi/opendata/tr/v1/2170751-5,OY
2168721-9,TTCW-restaurants Oy,,,2008-01-21,http://avoindata.prh.fi/opendata/tr/v1/2168721-9,OY
2161840-8,Kolme Kiveä Ravintolat Oy,,,2008-01-11,http://avoindata.prh.fi/opendata/tr/v1/2161840-8,OY
2209789-4,SELVÄ PYY RAVINTOLAT OY,,,2008-08-22,http://avoindata.prh.fi/opendata/tr/v1/2209789-4,OY
2209245-2,Ravintola & Catering Pisara Oy,,,2008-08-14,http://avoindata.prh.fi/opendata/tr/v1/2209245-2,OY
2225756-0,Äkäslompolo Ravintolat Oy,,,2008-10-20,http://avoindata.prh.fi/opendata/tr/v1/2225756-0,OY
2222705-4,Imatran JK-Ravintola Oy,,,2008-10-15,http://avoindata.prh.fi/opendata/tr/v1/2222705-4,OY
2218023-3,Vaasan Futuflow Ravintolat Oy,,,2008-10-09,http://avoindata.prh.fi/opendata/tr/v1/2218023-3,OY
2240491-1,Mondo Catering Oy,,,2008-12-29,http://avoindata.prh.fi/opendata/tr/v1/2240491-1,OY
2236260-0,SP Ravintola Kukonkulma Oy,,,2008-12-12,http://avoindata.prh.fi/opendata/tr/v1/2236260-0,OY
2238672-5,FIGo-ravintolat oy,,,2008-12-12,http://avoindata.prh.fi/opendata/tr/v1/2238672-5,OY
2238666-1,Forssan Piippuravintolat Oy,,,2008-12-12,http://avoindata.prh.fi/opendata/tr/v1/2238666-1,OY
2237519-6,Taide ja työ ravintolat oy,,,2008-12-10,http://avoindata.prh.fi/opendata/tr/v1/2237519-6,OY
2235488-9,Hotelli-Ravintola Tiilikka Oy,,,2008-12-10,http://avoindata.prh.fi/opendata/tr/v1/2235488-9,OY
2228941-5,W-Restaurants Oy,,,2008-12-02,http://avoindata.prh.fi/opendata/tr/v1/2228941-5,OY
2205983-9,Gloria Ravintolat Oy,,,2008-07-25,http://avoindata.prh.fi/opendata/tr/v1/2205983-9,OY
2208168-1,Viikinkiravintola Harald Oy,,,2008-07-25,http://avoindata.prh.fi/opendata/tr/v1/2208168-1,OY
2202407-0,Kalevankadun Ravintola Oy,,,2008-07-03,http://avoindata.prh.fi/opendata/tr/v1/2202407-0,OY
2200539-8,Pasari Ravintolat Oy,,,2008-06-11,http://avoindata.prh.fi/opendata/tr/v1/2200539-8,OY
2199379-3,Vantaan Ravintolat Oy,,,2008-06-11,http://avoindata.prh.fi/opendata/tr/v1/2199379-3,OY
2196357-8,JH-Ravintolat Oy,,,2008-05-22,http://avoindata.prh.fi/opendata/tr/v1/2196357-8,OY
2195140-3,Hill's Corner Restaurant Oy,,,2008-05-19,http://avoindata.prh.fi/opendata/tr/v1/2195140-3,OY
2190692-8,MES Ravintolat Oy,,,2008-05-16,http://avoindata.prh.fi/opendata/tr/v1/2190692-8,OY
2193423-2,Ravintola Kallio Oy,,,2008-05-09,http://avoindata.prh.fi/opendata/tr/v1/2193423-2,OY
2183807-2,AH Ravintolat Oy,,,2008-03-26,http://avoindata.prh.fi/opendata/tr/v1/2183807-2,OY
2182364-7,M & D Ravintola Oy,,,2008-03-13,http://avoindata.prh.fi/opendata/tr/v1/2182364-7,OY
2177590-5,Sakun Ravintolat Oy,,,2008-02-22,http://avoindata.prh.fi/opendata/tr/v1/2177590-5,OY
2191242-0,Vilpuri Ravintolat Oy,,,2008-04-30,http://avoindata.prh.fi/opendata/tr/v1/2191242-0,OY
2192330-6,Ravintola Im Aroi Ami Oy,,,2008-04-30,http://avoindata.prh.fi/opendata/tr/v1/2192330-6,OY
2190896-6,Pirkka Ravintolat Oy,,,2008-04-25,http://avoindata.prh.fi/opendata/tr/v1/2190896-6,OY
2183736-0,Sub Restaurants Oy,,,2008-04-04,http://avoindata.prh.fi/opendata/tr/v1/2183736-0,OY
2286258-4,Panimoravintola Beer Hunter's Oy,,,2009-09-18,http://avoindata.prh.fi/opendata/tr/v1/2286258-4,OY
2285554-4,Koivulan Kartanoravintolat Oy,,,2009-09-15,http://avoindata.prh.fi/opendata/tr/v1/2285554-4,OY
2282757-8,Keski-Uudenmaan ravintolapalvelut Oy,,,2009-09-09,http://avoindata.prh.fi/opendata/tr/v1/2282757-8,OY
2282145-9,Kaupunkiravintolat Oy,,,2009-09-08,http://avoindata.prh.fi/opendata/tr/v1/2282145-9,OY
2283755-7,HDF-ravintolat Oy,,,2009-09-08,http://avoindata.prh.fi/opendata/tr/v1/2283755-7,OY
2280122-0,KF Restaurants Oy,,,2009-08-18,http://avoindata.prh.fi/opendata/tr/v1/2280122-0,OY
2296128-3,Volume ravintolat Oy,,,2009-11-10,http://avoindata.prh.fi/opendata/tr/v1/2296128-3,OY
2293664-3,Ravintolayhtiö Säkenöivä Voima Oy,,,2009-10-29,http://avoindata.prh.fi/opendata/tr/v1/2293664-3,OY
2292981-4,Pyhätunturin Ravintolat Oy,,,2009-10-23,http://avoindata.prh.fi/opendata/tr/v1/2292981-4,OY
2304665-0,Ravintola Marttilan Talli Oy,,,2009-12-21,http://avoindata.prh.fi/opendata/tr/v1/2304665-0,OY
2290551-3,JOHANS RESTAURANT OY AB,,,2009-12-18,http://avoindata.prh.fi/opendata/tr/v1/2290551-3,OY
2299557-1,Ravintolalaiteasennus Koivula Oy,,,2009-12-07,http://avoindata.prh.fi/opendata/tr/v1/2299557-1,OY
2298068-7,SRY Ravintolat Oy,,,2009-11-27,http://avoindata.prh.fi/opendata/tr/v1/2298068-7,OY
2278374-7,Ravintola Kosken Helmi Oy,,,2009-08-04,http://avoindata.prh.fi/opendata/tr/v1/2278374-7,OY
2272121-2,Termico Ravintolat Oy,,,2009-07-10,http://avoindata.prh.fi/opendata/tr/v1/2272121-2,OY
2274103-7,JN Restaurants Oy Ltd,,,2009-07-02,http://avoindata.prh.fi/opendata/tr/v1/2274103-7,OY
2269069-8,Original ravintolat Oy,,,2009-06-01,http://avoindata.prh.fi/opendata/tr/v1/2269069-8,OY
2265447-8,Suomen Diner Ravintolat Oy,,,2009-05-26,http://avoindata.prh.fi/opendata/tr/v1/2265447-8,OY
2263852-3,Tibet Grill Oy,,,2009-05-07,http://avoindata.prh.fi/opendata/tr/v1/2263852-3,OY
2262727-7,Mama's Bar&Bistro Oy,,,2009-05-01,http://avoindata.prh.fi/opendata/tr/v1/2262727-7,OY
2262565-0,Bastion Catering Oy,,,2009-04-29,http://avoindata.prh.fi/opendata/tr/v1/2262565-0,OY
2252393-7,Kutu Ravintolat Oy,,,2009-02-26,http://avoindata.prh.fi/opendata/tr/v1/2252393-7,OY
2249888-2,JMK Ravintolat Oy,,,2009-02-24,http://avoindata.prh.fi/opendata/tr/v1/2249888-2,OY
2251464-3,TVA-Ravintolat Oy,,,2009-02-20,http://avoindata.prh.fi/opendata/tr/v1/2251464-3,OY
2249439-8,BB-Ravintolat Oy,,,2009-02-13,http://avoindata.prh.fi/opendata/tr/v1/2249439-8,OY
2249555-0,Koskin Ravintolat Oy,,,2009-02-11,http://avoindata.prh.fi/opendata/tr/v1/2249555-0,OY
2249603-5,Aleksanterin Ravintolat Oy,,,2009-02-11,http://avoindata.prh.fi/opendata/tr/v1/2249603-5,OY
2248138-6,Pihlaja Catering Oy,,,2009-02-04,http://avoindata.prh.fi/opendata/tr/v1/2248138-6,OY
2244296-9,Wictory Ravintola Oy,,,2009-02-03,http://avoindata.prh.fi/opendata/tr/v1/2244296-9,OY
2244942-3,Ravintola Jetset Oy,,,2009-02-01,http://avoindata.prh.fi/opendata/tr/v1/2244942-3,OY
2245981-6,Priima-Ravintolat Oy,,,2009-01-28,http://avoindata.prh.fi/opendata/tr/v1/2245981-6,OY
2259475-1,KT-Ravintolat Oy,,,2009-04-16,http://avoindata.prh.fi/opendata/tr/v1/2259475-1,OY
2260299-3,F-Ravintolat Oy,,,2009-04-14,http://avoindata.prh.fi/opendata/tr/v1/2260299-3,OY
2259617-5,Uudenmaan Catering Oy,,,2009-04-06,http://avoindata.prh.fi/opendata/tr/v1/2259617-5,OY
