Y-tunnus,company_name,address,website,registrationDate,detailsUri,companyForm
2664020-9,Stadin Panimobaari Oy,,,2015-01-20,http://avoindata.prh.fi/opendata/tr/v1/2664020-9,OY
2686036-7,Q-Publications Ltd Oy,,,2015-04-17,http://avoindata.prh.fi/opendata/tr/v1/2686036-7,OY
2673341-3,Baari viides linja Oy,,,2015-03-02,http://avoindata.prh.fi/opendata/tr/v1/2673341-3,OY
2677076-7,Markets Republic Oy,,,2015-02-25,http://avoindata.prh.fi/opendata/tr/v1/2677076-7,OY
2794564-5,MTT Storyworlds Publishing Oy,,,2016-11-16,http://avoindata.prh.fi/opendata/tr/v1/2794564-5,OY
2800890-1,Talvisilta Cafe & Pub Oy,,,2016-12-30,http://avoindata.prh.fi/opendata/tr/v1/2800890-1,OY
2800350-2,Sori Taprooms Oy,,,2016-12-15,http://avoindata.prh.fi/opendata/tr/v1/2800350-2,OY
2772693-6,Pub Group Oy,,,2016-08-16,http://avoindata.prh.fi/opendata/tr/v1/2772693-6,OY
2764388-2,Lautapelikahvila Taverna Oy,,,2016-06-22,http://avoindata.prh.fi/opendata/tr/v1/2764388-2,OY
2761158-1,Baari Bunkero Oy,,,2016-06-02,http://avoindata.prh.fi/opendata/tr/v1/2761158-1,OY
2754837-5,M-Eazy Music Publishing Oy,,,2016-04-11,http://avoindata.prh.fi/opendata/tr/v1/2754837-5,OY
2768960-2,RäyhäPub Oy,,,2016-06-29,http://avoindata.prh.fi/opendata/tr/v1/2768960-2,OY
2866974-2,Peaceful Impact Publisher Oy,,,2017-11-09,http://avoindata.prh.fi/opendata/tr/v1/2866974-2,OY
2873304-6,Kellaribaarit Oy,,,2017-12-08,http://avoindata.prh.fi/opendata/tr/v1/2873304-6,OY
2855103-1,PM Baarit Oy,,,2017-09-26,http://avoindata.prh.fi/opendata/tr/v1/2855103-1,OY
2821774-6,Jariku Pubit Oy,,,2017-03-21,http://avoindata.prh.fi/opendata/tr/v1/2821774-6,OY
