Y-tunnus,company_name,address,website,registrationDate,detailsUri,companyForm
2479282-3,E-kattotiivistykset Oy,,,2012-06-13,http://avoindata.prh.fi/opendata/tr/v1/2479282-3,OY
2468317-6,KM Roofing Oy Ab,,,2012-04-02,http://avoindata.prh.fi/opendata/tr/v1/2468317-6,OY
2468087-2,Sievin Remontti Oy,,,2012-03-26,http://avoindata.prh.fi/opendata/tr/v1/2468087-2,OY
2467985-5,Lapin Kattoturva Oy,,,2012-03-23,http://avoindata.prh.fi/opendata/tr/v1/2467985-5,OY
2465709-0,Hämeen Kattokonsultti Oy,,,2012-03-21,http://avoindata.prh.fi/opendata/tr/v1/2465709-0,OY
2465211-8,KATTOTEX Oy,,,2012-03-21,http://avoindata.prh.fi/opendata/tr/v1/2465211-8,OY
2454454-7,HL-Ikkunat Oy,,,2012-01-26,http://avoindata.prh.fi/opendata/tr/v1/2454454-7,OY
2452036-9,Remontti Fix Oy,,,2012-01-20,http://avoindata.prh.fi/opendata/tr/v1/2452036-9,OY
2450855-4,Asunto Oy Vaasan Koivuhovi - Bostads Ab Vasa Björkhovet,,,2012-01-11,http://avoindata.prh.fi/opendata/tr/v1/2450855-4,AOY
2452496-8,Uudenmaan Kattohuolto Oy,,,2012-01-10,http://avoindata.prh.fi/opendata/tr/v1/2452496-8,OY
2450304-0,Rakennus ja Laatoitus M Elo Oy,,,2012-01-09,http://avoindata.prh.fi/opendata/tr/v1/2450304-0,OY
2464850-6,Zero Outdoors Oy,,,2012-05-31,http://avoindata.prh.fi/opendata/tr/v1/2464850-6,OY
2472617-2,Remontti Rex Oy,,,2012-04-30,http://avoindata.prh.fi/opendata/tr/v1/2472617-2,OY
2534214-6,OUSE Insulation Oy,,,2013-03-21,http://avoindata.prh.fi/opendata/tr/v1/2534214-6,OY
2532539-7,REMONTTIKOLMIKKO OY,,,2013-02-27,http://avoindata.prh.fi/opendata/tr/v1/2532539-7,OY
2570339-4,Remontti-Helgkari Oy,,,2013-10-08,http://avoindata.prh.fi/opendata/tr/v1/2570339-4,OY
2566043-5,Kerabit Kattoelementit Oy,,,2013-10-03,http://avoindata.prh.fi/opendata/tr/v1/2566043-5,OY
2566113-9,Rakennus- ja remonttityö Arto Väyrynen Oy,,,2013-09-11,http://avoindata.prh.fi/opendata/tr/v1/2566113-9,OY
