Y-tunnus,company_name,address,website,registrationDate,detailsUri,companyForm
2523035-5,SARIN KIOSKI-RAVINTOLAT OY,,,2013-02-01,http://avoindata.prh.fi/opendata/tr/v1/2523035-5,OY
2641435-9,Laivurinpizza Oy,,,2014-09-17,http://avoindata.prh.fi/opendata/tr/v1/2641435-9,OY
2639511-9,Pizzakiosk Finland Oy Ab,,,2014-09-15,http://avoindata.prh.fi/opendata/tr/v1/2639511-9,OY
2628617-4,Franchise Pizza Ciray Ketju Oy,,,2014-08-15,http://avoindata.prh.fi/opendata/tr/v1/2628617-4,OY
2630811-8,Smoothie Burger Oy,,,2014-08-08,http://avoindata.prh.fi/opendata/tr/v1/2630811-8,OY
2630812-6,Donitsi Burger Oy,,,2014-08-08,http://avoindata.prh.fi/opendata/tr/v1/2630812-6,OY
2630746-5,Fruitie Burger Oy,,,2014-08-06,http://avoindata.prh.fi/opendata/tr/v1/2630746-5,OY
2627924-9,Sitko Pizza Oy,,,2014-08-01,http://avoindata.prh.fi/opendata/tr/v1/2627924-9,OY
2630486-2,Marskin Kioski-Kahvio Oy,,,2014-07-16,http://avoindata.prh.fi/opendata/tr/v1/2630486-2,OY
2589863-8,Akbulut Oy Kulta Pizza-Grilli,,,2014-01-01,http://avoindata.prh.fi/opendata/tr/v1/2589863-8,OY
2612980-6,Pizzakaravaani Oikku Oy,,,2014-04-10,http://avoindata.prh.fi/opendata/tr/v1/2612980-6,OY
2608590-3,Korson Pizzapalvelu Sero Oy,,,2014-04-08,http://avoindata.prh.fi/opendata/tr/v1/2608590-3,OY
2614358-7,Sourdough Pizza Crew Oy,,,2014-04-08,http://avoindata.prh.fi/opendata/tr/v1/2614358-7,OY
2610450-2,HONG PHUC GRILLI-KIOSKI RAVINTOLA OY,,,2014-03-28,http://avoindata.prh.fi/opendata/tr/v1/2610450-2,OY
2656511-4,Pizza Mandarin Hämeenlinna Oy,,,2015-04-13,http://avoindata.prh.fi/opendata/tr/v1/2656511-4,OY
2718473-5,Kotikebab Oy,,,2015-10-29,http://avoindata.prh.fi/opendata/tr/v1/2718473-5,OY
2727830-1,Leirin Pizza Oy,,,2015-12-08,http://avoindata.prh.fi/opendata/tr/v1/2727830-1,OY
2726846-1,King Kebab Finland Oy,,,2015-12-03,http://avoindata.prh.fi/opendata/tr/v1/2726846-1,OY
2712323-8,Pyöräkioski HUB Oy,,,2015-09-22,http://avoindata.prh.fi/opendata/tr/v1/2712323-8,OY
2692913-3,Reittikioski Oy,,,2015-07-29,http://avoindata.prh.fi/opendata/tr/v1/2692913-3,OY
2656489-1,VALENTIN PIZZA & BURGER Oy,,,2015-01-21,http://avoindata.prh.fi/opendata/tr/v1/2656489-1,OY
2679242-1,Mavi Kelebek Kebab-Pizzeria Oy,,,2015-03-10,http://avoindata.prh.fi/opendata/tr/v1/2679242-1,OY
2671053-7,Sunny Kebab Oy,,,2015-03-02,http://avoindata.prh.fi/opendata/tr/v1/2671053-7,OY
2696867-7,Pizza Hot Oy,,,2015-06-26,http://avoindata.prh.fi/opendata/tr/v1/2696867-7,OY
2787663-5,Kiinteistö Oy Burgertupa,,,2016-10-14,http://avoindata.prh.fi/opendata/tr/v1/2787663-5,OY
2794106-2,Piwin Pulla ja Burger Oy,,,2016-11-17,http://avoindata.prh.fi/opendata/tr/v1/2794106-2,OY
2789879-7,Kimene - Kebab Oy,,,2016-11-03,http://avoindata.prh.fi/opendata/tr/v1/2789879-7,OY
2774174-9,Ilmajoen Pikaruoka Oy,,,2016-08-16,http://avoindata.prh.fi/opendata/tr/v1/2774174-9,OY
2748378-6,Great Burger Åland Ab,,,2016-03-17,http://avoindata.prh.fi/opendata/tr/v1/2748378-6,OY
2734944-8,Fes kebab & grill oy,,,2016-03-09,http://avoindata.prh.fi/opendata/tr/v1/2734944-8,OY
2749246-3,Pizza Boys Oy,,,2016-03-03,http://avoindata.prh.fi/opendata/tr/v1/2749246-3,OY
2748678-4,Pizzakungen Oy,,,2016-02-29,http://avoindata.prh.fi/opendata/tr/v1/2748678-4,OY
2764099-9,Järvenperä Fast Food Oy,,,2016-06-13,http://avoindata.prh.fi/opendata/tr/v1/2764099-9,OY
2769391-9,Vegaaninen lippakioski -osuuskunta,,,2016-06-29,http://avoindata.prh.fi/opendata/tr/v1/2769391-9,OK
2830717-8,AFGA-Pizza Oy,,,2017-05-04,http://avoindata.prh.fi/opendata/tr/v1/2830717-8,OY
2865666-9,Beside burgers Oy,,,2017-11-21,http://avoindata.prh.fi/opendata/tr/v1/2865666-9,OY
2839302-9,Asunto Oy Vantaan Kurpitsa,,,2017-06-19,http://avoindata.prh.fi/opendata/tr/v1/2839302-9,AOY
2821516-9,Super Pizza Oy,,,2017-03-31,http://avoindata.prh.fi/opendata/tr/v1/2821516-9,OY
2846190-9,Burger & Cafe Place Oy,,,2017-08-09,http://avoindata.prh.fi/opendata/tr/v1/2846190-9,OY
2842970-6,FINLAND PIZZA TIME OY,,,2017-07-13,http://avoindata.prh.fi/opendata/tr/v1/2842970-6,OY
2842937-8,Kiinteistö Oy Someron Burger,,,2017-07-12,http://avoindata.prh.fi/opendata/tr/v1/2842937-8,OY
2944354-2,Burger Lovers Finland Oy,,,2018-10-17,http://avoindata.prh.fi/opendata/tr/v1/2944354-2,OY
2942331-4,Kuokkalan Kebab Pizzeria Oy,,,2018-10-16,http://avoindata.prh.fi/opendata/tr/v1/2942331-4,OY
2954886-2,Altun Pizza Oy,,,2018-11-28,http://avoindata.prh.fi/opendata/tr/v1/2954886-2,OY
2947678-2,ProBurger Oy,,,2018-11-08,http://avoindata.prh.fi/opendata/tr/v1/2947678-2,OY
2947365-3,BelBurger Oy,,,2018-11-08,http://avoindata.prh.fi/opendata/tr/v1/2947365-3,OY
2952920-7,Linnan ruokakioski Oy,,,2018-12-31,http://avoindata.prh.fi/opendata/tr/v1/2952920-7,OY
2940128-9,Fast Food Builders Oy,,,2018-10-03,http://avoindata.prh.fi/opendata/tr/v1/2940128-9,OY
2940225-7,Weijon kioski Oy,,,2018-09-24,http://avoindata.prh.fi/opendata/tr/v1/2940225-7,OY
2927082-1,JK Kioski Oy,,,2018-09-05,http://avoindata.prh.fi/opendata/tr/v1/2927082-1,OY
2927079-2,Puksun Pizza ja Kebab Oy,,,2018-08-31,http://avoindata.prh.fi/opendata/tr/v1/2927079-2,OY
2904487-5,BurgerVilske Oy,,,2018-04-18,http://avoindata.prh.fi/opendata/tr/v1/2904487-5,OY
2902375-9,Scandic Burger & Grill Ab,,,2018-04-16,http://avoindata.prh.fi/opendata/tr/v1/2902375-9,OY
2904486-7,BurgerMarski Oy,,,2018-04-06,http://avoindata.prh.fi/opendata/tr/v1/2904486-7,OY
2905377-1,Mikan Cafe & Burger Oy,,,2018-03-28,http://avoindata.prh.fi/opendata/tr/v1/2905377-1,OY
2924129-7,Pro Pizza Oy,,,2018-07-13,http://avoindata.prh.fi/opendata/tr/v1/2924129-7,OY
2909239-1,PuhtiBurger Oy,,,2018-05-11,http://avoindata.prh.fi/opendata/tr/v1/2909239-1,OY
2906985-3,No Pizza Oy,,,2018-05-03,http://avoindata.prh.fi/opendata/tr/v1/2906985-3,OY
2923219-8,RehtiBurger Oy,,,2018-07-24,http://avoindata.prh.fi/opendata/tr/v1/2923219-8,OY
2923213-9,ReiluBurger Oy,,,2018-07-23,http://avoindata.prh.fi/opendata/tr/v1/2923213-9,OY
3099900-3,Stadin Kebab Oy,,,2019-12-09,http://avoindata.prh.fi/opendata/tr/v1/3099900-3,OY
3093729-1,Sulkavan Kioski and Bar Oy,,,2019-12-02,http://avoindata.prh.fi/opendata/tr/v1/3093729-1,OY
3107528-3,Keuruun Kebab Pizzeria,,,2019-12-30,http://avoindata.prh.fi/opendata/tr/v1/3107528-3,OY
3106212-4,Tullin Pitsa Oy,,,2019-12-19,http://avoindata.prh.fi/opendata/tr/v1/3106212-4,OY
3093819-8,Papachi pizza Oy,,,2019-11-11,http://avoindata.prh.fi/opendata/tr/v1/3093819-8,OY
3095833-2,Pale's Pizza Oy,,,2019-10-30,http://avoindata.prh.fi/opendata/tr/v1/3095833-2,OY
3095197-4,JR Burger Oy,,,2019-10-28,http://avoindata.prh.fi/opendata/tr/v1/3095197-4,OY
3095209-6,Lempäälän Pizzeria Kebab ja Grilli Oy,,,2019-10-28,http://avoindata.prh.fi/opendata/tr/v1/3095209-6,OY
3087301-3,Sauvon Kebabpizzeria Oy,,,2019-10-18,http://avoindata.prh.fi/opendata/tr/v1/3087301-3,OY
3092608-2,Gifts for Wraps Oy,,,2019-10-14,http://avoindata.prh.fi/opendata/tr/v1/3092608-2,OY
3009848-3,Nordic Pizza Company Oy,,,2019-07-16,http://avoindata.prh.fi/opendata/tr/v1/3009848-3,OY
3091512-1,Kannelmäki pizza expres Oy,,,2019-10-09,http://avoindata.prh.fi/opendata/tr/v1/3091512-1,OY
3086627-8,RingBurger Oy,,,2019-10-08,http://avoindata.prh.fi/opendata/tr/v1/3086627-8,OY
3085802-4,AurinkoBurger Oy,,,2019-10-04,http://avoindata.prh.fi/opendata/tr/v1/3085802-4,OY
3085639-5,BurgerOnni Oy,,,2019-10-04,http://avoindata.prh.fi/opendata/tr/v1/3085639-5,OY
3085376-8,BurgerMesta Oy,,,2019-10-04,http://avoindata.prh.fi/opendata/tr/v1/3085376-8,OY
3085374-1,LempiBurger Oy,,,2019-10-04,http://avoindata.prh.fi/opendata/tr/v1/3085374-1,OY
3085373-3,MajakkaBurger Oy,,,2019-10-04,http://avoindata.prh.fi/opendata/tr/v1/3085373-3,OY
3153063-7,Korona pizza Oy,,,2020-08-24,http://avoindata.prh.fi/opendata/tr/v1/3153063-7,OY
3171494-6,The Bro's Burger OY,,,2020-11-17,http://avoindata.prh.fi/opendata/tr/v1/3171494-6,OY
3169318-8,Pizza-frendi Oy,,,2020-11-16,http://avoindata.prh.fi/opendata/tr/v1/3169318-8,OY
3170314-7,Kampizza Oy,,,2020-11-12,http://avoindata.prh.fi/opendata/tr/v1/3170314-7,OY
3170135-2,Dabiliza Pizza,,,2020-11-11,http://avoindata.prh.fi/opendata/tr/v1/3170135-2,OY
3175315-2,Pizzaella Oy,,,2020-12-14,http://avoindata.prh.fi/opendata/tr/v1/3175315-2,OY
3172064-1,Alice Pizza and Café Oy,,,2020-12-07,http://avoindata.prh.fi/opendata/tr/v1/3172064-1,OY
3177639-7,Välilän Grilli-Kioski Oy,,,2020-12-28,http://avoindata.prh.fi/opendata/tr/v1/3177639-7,OY
3162470-5,Sky Burger Oy,,,2020-10-27,http://avoindata.prh.fi/opendata/tr/v1/3162470-5,OY
3165792-9,GamerPizza OY,,,2020-10-21,http://avoindata.prh.fi/opendata/tr/v1/3165792-9,OY
3145460-3,Viirinkangas pizza kebab Oy,,,2020-07-23,http://avoindata.prh.fi/opendata/tr/v1/3145460-3,OY
3146723-6,TakeT Takeaway Tea Shop Tripla,,,2020-07-20,http://avoindata.prh.fi/opendata/tr/v1/3146723-6,OY
3144094-9,Tornion Kebab Pizzeria Oy,,,2020-07-15,http://avoindata.prh.fi/opendata/tr/v1/3144094-9,OY
3145369-4,Pizza Parkki 2 Oy,,,2020-07-14,http://avoindata.prh.fi/opendata/tr/v1/3145369-4,OY
3152282-1,Vuokatti Pizza & Kebab Oy,,,2020-09-01,http://avoindata.prh.fi/opendata/tr/v1/3152282-1,OY
3148648-8,Deluxe Burger Helsinki,,,2020-08-03,http://avoindata.prh.fi/opendata/tr/v1/3148648-8,OY
3230774-4,Pizza MarKat Oy,,,2021-08-27,http://avoindata.prh.fi/opendata/tr/v1/3230774-4,OY
3253042-8,Curry Pizza oy,,,2021-12-13,http://avoindata.prh.fi/opendata/tr/v1/3253042-8,OY
3245465-6,Kappeliluhdan kebab pizzeria Oy,,,2021-12-10,http://avoindata.prh.fi/opendata/tr/v1/3245465-6,OY
3251967-5,Finpizza Oy,,,2021-12-07,http://avoindata.prh.fi/opendata/tr/v1/3251967-5,OY
3253074-3,Naantali Kebab-Pizzeria Oy,,,2021-12-31,http://avoindata.prh.fi/opendata/tr/v1/3253074-3,OY
3217785-5,Pizza Rucola Finland Oy,,,2021-07-06,http://avoindata.prh.fi/opendata/tr/v1/3217785-5,OY
